"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"105",121071.06747561,315306.88060683,286808.331773826,20.9097279967483,22.6551466912761,21.5777327309715
"106",125258.368503008,302222.725213261,287072.68806512,20.7066176846103,22.6878323204808,21.4389179956893
"107",119589.435428892,338511.71760816,302183.044956705,20.0389689393835,21.837803443968,20.8954832962627
"108",109868.212679177,249268.097183168,223335.206482398,21.8062465661343,23.6413626716694,22.5762862818037
"109",125220.117834784,278323.344061336,269463.875794306,21.6902228505735,23.4061960826875,22.2165430605658
"110",107404.726576878,263410.447693431,237207.343960811,21.1267691268538,22.719986731511,21.9418757408658
"111",116201.477062858,291590.330439763,265302.756764426,20.467227509685,22.5836799714745,21.3354236507667
"112",108939.81706267,301445.228926325,265097.724529582,20.8585343837989,22.5812870584957,21.745717402436
"113",120174.145060016,297505.133493806,259352.289545341,21.0128530966099,23.1485945989344,21.760457555529
"114",109841.249037836,270922.027800081,248551.326025071,21.1862450564256,22.6218889677635,22.1279293934094
"115",117653.355008922,316557.748157344,294795.460138488,20.2618689658965,21.9005250143723,20.9231384921199
"116",120849.366038984,292049.260585509,258369.927478765,20.8129770043587,22.3599899796292,21.782393467251
"117",101275.712755191,238440.250519113,209089.470614269,22.4786651813054,23.899116901022,23.2858096994386
"118",122783.255642733,291680.411412535,272151.521500342,21.2648533561441,22.8320596726696,21.997009107462
"119",133159.111666401,314315.651214587,276936.854751545,20.7155668136461,22.7460141495602,21.6448676634099
"120",119707.471429169,267094.159336629,234858.094777011,21.7327324925343,23.342370529555,22.6147944546525
"121",113888.344607619,280845.25874194,265544.006631781,21.1021498076721,22.8435081932379,21.6969325517861
"122",113787.854619486,307149.195568771,278906.952745189,20.6724224517797,22.2309683558332,21.5477604816143
"123",118852.525704696,342730.341187605,309121.39567324,19.4202740913338,21.3411678258991,20.1915545584291
"124",118110.526984228,298109.424152309,279100.579100404,20.6923958854882,22.3412161921995,21.4444429308271
"125",113683.177160782,284664.793474778,272214.380489193,21.0505569592152,23.2281738355739,21.4337370448052
"126",112436.722882029,280549.64131741,236945.865317355,21.5557863518564,23.0851305904977,22.5122181607822
"127",118044.907216142,308732.162808301,270604.280486305,20.5391558489788,22.3214794025389,21.5654036618229
"128",118930.417314626,288734.808182288,245345.492945179,21.6640189414618,23.2937459170269,22.5696387120214
"129",121656.048131408,311582.070916048,287775.312675446,20.5717663450603,22.2848311705638,21.3569285119102
"130",141103.282487808,326538.207804365,306042.152860915,20.2268252058003,22.2470272639833,21.0484343158938
"131",94750.3209687003,228626.062368589,192318.965615926,22.442871621167,23.8118751713344,23.2874882224368
"132",114066.390171738,289353.439221846,252891.002490497,21.5267034820013,23.0081416597454,22.2554229667277
"133",119281.910072365,316064.084023216,305231.95412725,20.1726598653432,22.0294545352165,20.8512089392641
"134",118618.852591747,295344.629848512,272487.307136012,21.5727381003459,23.2608111204556,22.2374916059815
"135",105393.309578865,290590.718243511,256759.083277351,21.1402584513645,22.4736953856359,21.8941813173243
"136",123226.950788041,290648.128077974,279026.915672092,20.7306094944785,22.7527822643578,21.3222867183039
"137",124016.773812759,304244.550501991,281815.363118493,20.3757657042172,22.374101862304,21.0912389573694
"138",107649.63607414,268104.384486796,239008.030265104,21.6366918282424,23.4400410506882,22.2975610112818
"139",96770.2441599572,259441.186657151,237203.483767151,21.4467569176064,22.6985760375287,22.396927694805
"140",122352.335848099,307090.514317614,273816.22880512,20.6124628403427,22.28938527594,21.3976312734208
"141",117415.349604898,287271.323043642,264898.768016036,21.1541268375432,22.9954192871293,21.7324592885551
"142",108870.557993141,276726.587023312,233272.92346265,21.7579351000247,23.2627407510421,22.7129671451977
"143",97938.4517033041,213096.668312632,193747.833188702,23.0029022565651,24.4896903504307,23.6764504794477
"144",125779.82431848,327644.877442201,318912.684387427,20.5371174023114,22.4484504065438,20.9996389068011
"145",106729.733599538,260021.491001329,230390.569151312,21.5823278112078,23.2602324829427,22.3767736827276
"146",113421.756171736,320698.106664417,301839.336194523,20.0708105337836,21.8617015219548,20.622401668434
"147",112606.691841877,263288.388764527,249929.706182336,21.7260843953846,23.1690205889926,22.383734287788
"148",113322.843844621,272284.509823552,262205.03686735,21.5160518019619,23.217552210828,22.2017945189011
"149",112143.275748754,317240.904706628,267539.602760821,21.0299043125527,22.7225126206624,22.2300190843301
"150",108625.615142757,263269.599496221,249414.41472703,21.4895706822829,23.3295816879813,22.1240020782321
"151",111920.442223612,273309.475629545,244930.466897978,21.5186427349211,23.332580474378,22.2921205030855
"152",116191.760960241,250874.989405417,224175.709650842,22.2931113816963,23.8562484917898,23.1458730010855
"153",117532.791210273,310762.097369776,288001.181556238,20.5161054881649,22.134688192699,21.3762446761102
"154",122226.340592609,330311.814982902,333289.070575777,19.1842523922778,21.6131543417259,19.5947857685281
"155",129796.784038961,328180.42711644,297377.002314517,19.707291524636,21.9131304835964,20.7086305489707
"156",115669.744382771,286655.511379877,259902.559260998,20.9515633991342,22.8233785527566,21.8304467906846
"157",124671.456226145,326549.93891115,285614.276171225,20.7448905741133,22.6102987872421,21.645319911868
"158",111048.845561476,290853.88322741,264920.334414838,20.9590700825019,22.6013900570229,21.6922778904149
"159",108629.017136848,259485.856488893,224946.55966763,21.7720381978747,23.3984035687341,22.7343624784672
"160",95656.5504493276,231048.757175731,222220.596501518,22.223885795018,23.7447508049117,22.701105203899
"161",104098.080223776,275521.680016866,250168.108816027,20.9306950441457,22.6206700306491,21.8371682646111
"162",98464.5661748999,231391.929921404,210370.196369589,22.782887570655,24.0639256412865,23.5527746272093
"163",129825.15632609,317563.795864078,273520.870581568,20.378202062499,22.621207410619,21.2258481747309
"164",105933.021007142,244188.146669863,228330.484465113,21.9111402233665,23.6728035558456,22.5085384023471
"165",109802.643109304,271701.298467974,241174.41104298,21.7194761014704,23.3996720631566,22.4360926908443
"166",122332.58697618,320334.406116567,280408.356565622,20.6083906422635,22.3110169078575,21.5533811922189
"167",129706.932706333,311676.72895189,283328.11924453,20.0834331307507,22.3832537492858,21.0096800270434
"168",124946.491230448,320548.040856842,290151.747860609,20.6249496201686,22.4471549701225,21.3871876474944
"169",114696.830906561,326400.685076684,319383.826442453,20.061742324666,21.8090057180471,20.6406367969441
"170",117916.72228077,310448.740832994,273917.957144094,20.4703776167503,22.4799418166514,21.3612327547717
"171",118317.680170657,317107.185931715,278316.990296977,20.2919240571708,22.2262908926422,21.2231677343296
"172",118877.120116333,302022.76635929,263959.989369108,20.0530095191523,22.1160933059012,20.9806212674167
"173",116230.323315044,237370.642034558,213980.951390914,22.8387316506274,24.3902552920848,23.4070142802196
"174",131694.050075812,308723.706010672,284504.314986039,20.7176876416469,22.2640683889435,21.6051880433485
"175",98514.1439148341,239810.553354535,230106.762504353,22.1772253409557,23.6910015008712,22.7401393258044
"176",115507.535499895,286097.331351591,257050.033253628,21.2385305058318,22.710279851885,22.0943898487639
"177",111418.421148425,259279.395581797,248934.732008911,21.6263142280629,23.157839464738,22.4033356995244
"178",112068.939924146,261685.073836897,241660.031137547,22.1467184850539,23.8135373348069,22.7797180082631
"179",128494.456188152,317218.286995265,294896.931891726,20.8259602913707,22.618969267396,21.4640716428743
"180",120251.657131659,295483.909611971,262783.991354586,20.7671793017261,22.6758648597972,21.7233662214489
"181",118834.35310963,310114.275603947,263390.238659988,21.1444604739529,22.7113865501779,22.2419256694633
"182",116948.47959556,314093.543380392,291326.913661616,19.9864849499467,21.8311908285525,20.5878060601563
"183",114753.812507679,293217.258418572,274894.886348076,20.3863788004585,22.3137211902147,21.1090434778889
"184",106700.723268076,274662.768365857,245473.135358237,22.0347823087743,23.4890102857224,22.7380140002883
